Node,w_max,Average
1,"[0.1928775020290467, 0.23483271097660713, 0.27903645859248355, 0.29799886685439503, 0.29974232648791715, 0.2694416696659204, 0.2512705274941007, 0.24496079372578416, 0.22402738326850546, 0.21127555000643966, 0.22180939487097506, 0.2204709566961377, 0.25011069254911766, 0.29644440850430503, 0.3309264523010001, 0.3215615347498949, 0.3356008315320953, 0.33252334212455215, 0.3276905741539582, 0.37326472335340355, 0.3621532333495773, 0.34726065691050206, 0.32769965422523933, 0.28993811985608486]","[0.27537088307064567, 0.2734554971877346, 0.27395799255577674, 0.27416953429615265, 0.2748695860078489, 0.27298346106987115, 0.26171161219388195, 0.25602412162648436, 0.2577515912569962, 0.25153618272135525, 0.24992348980831025, 0.25709323914228743, 0.25933865534358047, 0.2593917466621975, 0.25769344954748724, 0.25745744555155625, 0.2546408699018775, 0.2505083555382829, 0.24475172797142494, 0.23356777187555125, 0.2255751191086849, 0.22391713591871837, 0.22504693229285117, 0.2175023452585155]"
2,"[0.28540701213509617, 0.314049461355384, 0.34707891556661735, 0.36381528159871096, 0.36805853470811334, 0.33847663522108673, 0.32592162235056854, 0.3189796877910547, 0.2998705816215398, 0.2744915335114456, 0.29889640114258736, 0.30926700280116826, 0.3183259431961279, 0.3683831135444797, 0.40738159907754246, 0.4015707051519045, 0.4179522292237484, 0.4180359024420268, 0.41472202908180245, 0.4602828955988816, 0.452558662530025, 0.43819039806317106, 0.41966662259246945, 0.38179426600089683]","[0.36385040028464904, 0.35849245795155, 0.3570614485626166, 0.35602329225476054, 0.355784339221219, 0.35356285349324457, 0.3427490651052508, 0.3356563389687858, 0.3360168323103533, 0.3289919633461157, 0.32514595540932895, 0.33132709073216904, 0.3320615014145029, 0.3308711074357179, 0.32754784764376954, 0.32613366306504366, 0.3210240768173489, 0.3153536201588484, 0.308352229618415, 0.29736186495523353, 0.288901253595454, 0.28609635089478436, 0.28609193668523314, 0.27817848495259745]"
3,"[0.21008662183689703, 0.2551146319534411, 0.2989407586430505, 0.3158233591571427, 0.3174511674192929, 0.28508990882473434, 0.2653596847545531, 0.2564129246210426, 0.23422668873729174, 0.21662161086625037, 0.22855431110975893, 0.22660862047857389, 0.25445962503597036, 0.2999610051452148, 0.3348827745594597, 0.3235027127221005, 0.3376293293350425, 0.3361441870249349, 0.3308766956241505, 0.3733111129308062, 0.3606673772860912, 0.3462116511878834, 0.3262657996957106, 0.28796687587722614]","[0.2790243658382041, 0.2743173718937614, 0.2750631331830492, 0.27735428036685444, 0.27840625483026693, 0.27891529170390844, 0.2697226301641719, 0.26705018906864286, 0.2702408116328067, 0.26625853031401453, 0.2634122860380114, 0.2740314821714174, 0.27550938447033085, 0.2763154478321936, 0.27418599445386227, 0.27614856207346816, 0.2737249607000367, 0.26826503216238734, 0.26336744915195814, 0.25570815342675524, 0.24932515289421028, 0.24775526487541272, 0.24964299081641877, 0.24298961414230322]"
4,"[0.15469380253808718, 0.1812815698476738, 0.20936226230499583, 0.22308072248225763, 0.2240800321411722, 0.22708255064190996, 0.21277514214609344, 0.20672085649841437, 0.2241506899714793, 0.2288008398921918, 0.2415166293966427, 0.23060610649853078, 0.26858599258091015, 0.3118989403761412, 0.3435997785245441, 0.329247265376611, 0.34291085964632173, 0.34041525505228787, 0.33169879983962375, 0.36850749892671125, 0.35306049086877156, 0.3379303895030792, 0.31799590666748717, 0.2773227629673224]","[0.2596724580880764, 0.25264309488848247, 0.24931417466529776, 0.2491630323135623, 0.2475454238316365, 0.24889507753699092, 0.23737167322520786, 0.23318771063920513, 0.23431300050205045, 0.23181271488528377, 0.22814779211249436, 0.23758753934221585, 0.23865209700262552, 0.23974179593046427, 0.23887280204735445, 0.24247773799671793, 0.24106812149118415, 0.23589438852144284, 0.23479368457806088, 0.23310112208663863, 0.2277555037581862, 0.22793922123853347, 0.23032762620933295, 0.2267518954538402]"
5,"[0.281124615707088, 0.31171999017717494, 0.33843421021668557, 0.34774934854210565, 0.34565106971690457, 0.3242386753174017, 0.3099175694439268, 0.30365041143230714, 0.28052136614011686, 0.2606271511962807, 0.27396731158862025, 0.2795868278861703, 0.3046857873745641, 0.3547523472226879, 0.393463822326592, 0.3889329811800546, 0.40569015572045836, 0.4052243332615975, 0.4022362203334995, 0.4480081363685093, 0.44075915265867993, 0.42695963899708, 0.40839936379335395, 0.37158648981832865]","[0.37122838812860925, 0.3646208140330098, 0.3639829244123884, 0.36543105670090376, 0.3652616693966911, 0.3634357468712751, 0.35345893664652317, 0.3482205418523458, 0.3499087784859006, 0.3447710495559871, 0.3394788400325955, 0.34488877754824465, 0.3452893773491391, 0.3430118935801285, 0.33886633716545517, 0.33516669212795547, 0.32904372429234624, 0.3230712180676148, 0.3151128615676816, 0.3033115957132925, 0.29338928559364497, 0.2895740756364572, 0.2891005245652031, 0.2796932419974377]"
6,"[0.205744047238492, 0.2498820585278106, 0.2931625373477737, 0.3068812982516839, 0.3090382122008007, 0.27581743516403245, 0.25905283402801893, 0.2523719036582563, 0.23122243580953078, 0.2155437740632667, 0.22632000970650346, 0.22176860153666617, 0.25447117683161524, 0.29826450122585, 0.32888381663745847, 0.31478549847804327, 0.3270182435709074, 0.32488991434136594, 0.31818966975376956, 0.35846730918930486, 0.3449676551257137, 0.3287341938824641, 0.30721671239022186, 0.2646895954847678]","[0.2846018986656121, 0.278835813582994, 0.2777812460726687, 0.28083235000459433, 0.27910151612540995, 0.2783652243732694, 0.2644886744473093, 0.25797961620995774, 0.258591164491305, 0.2548381363186888, 0.25170652931458937, 0.2603995979961193, 0.25874477418789765, 0.2595946125683726, 0.25997935481326995, 0.26288399453823097, 0.26089913414423976, 0.254497870710061, 0.2496614585959333, 0.2428840821293125, 0.2357596220298157, 0.2348300133783104, 0.23720005744964556, 0.23382454990107243]"
7,"[0.17380487083962531, 0.20915943997393494, 0.23724003429806167, 0.2505509662183344, 0.2496418960756167, 0.23703987490535738, 0.2169280599970544, 0.21616319124988642, 0.2125818586983768, 0.21868297072824994, 0.2301497824709475, 0.21877064348199673, 0.2553573052151371, 0.29989826993119617, 0.3297967691213613, 0.3174229543381412, 0.3301129958183963, 0.3269655785300596, 0.31920868147479686, 0.3583890470541136, 0.34384111200192313, 0.326494710502952, 0.3049592827318954, 0.2635016822265583]","[0.2592400149293114, 0.2549697134874688, 0.2514424353698018, 0.252209661545426, 0.25076818964362746, 0.2506716044390914, 0.23891117959133806, 0.23388454593708302, 0.2361490210160641, 0.23265927028191596, 0.22968230382846197, 0.2394125659441618, 0.24124849509486596, 0.24207739221954552, 0.24388459667540413, 0.24574921963729895, 0.24398538723323365, 0.23923874385207408, 0.23608056444487535, 0.23099473234950357, 0.22546605128014, 0.2262072848763589, 0.22912074552893053, 0.22517937826312456]"
8,"[0.21212150072771657, 0.25709763179555667, 0.3011581999906021, 0.3174782098091831, 0.3191830279076421, 0.2870935034358838, 0.26804231384230187, 0.25876993374510293, 0.23752821693186577, 0.2200942174489222, 0.23263040690033449, 0.23160017176524367, 0.2599669723402273, 0.30494547336219724, 0.33961198702614787, 0.327942618862479, 0.34194847777962284, 0.34043233426397046, 0.33506692298362145, 0.3771520767114037, 0.3643524841041663, 0.34863387857471806, 0.3282465493312019, 0.2895981134346237]","[0.2874636126289428, 0.28234586120842675, 0.2821990188151564, 0.28442473640659555, 0.284873361772762, 0.2846462932480298, 0.2744455832184391, 0.2717629110826192, 0.2736346645204941, 0.2686699963102967, 0.2648758645505959, 0.2747283175430752, 0.2748624788834437, 0.27573957012304595, 0.2734155815309877, 0.275272175145746, 0.2727263996015042, 0.2669689119775641, 0.26193170235817514, 0.2543947508792733, 0.247789206860718, 0.24732720771459657, 0.2494699648835125, 0.24300451341813134]"
9,"[0.2596327552389917, 0.2891216725388861, 0.3181886231256357, 0.329105728902262, 0.3286572986406021, 0.3075320612699945, 0.2945153494301821, 0.28883347134318527, 0.26611287641506337, 0.256746135988255, 0.2690266998815831, 0.2639268950979581, 0.29534218540691853, 0.3418387351759205, 0.37841812214534776, 0.36993887156236965, 0.3831987476659601, 0.38099888462692766, 0.37510974061705255, 0.4192892617006466, 0.4111390995844845, 0.3956372737746061, 0.376418967973305, 0.3387199358460125]","[0.3448124460622168, 0.33944895826156574, 0.33631640738506297, 0.3359941260639818, 0.334060266187609, 0.33189629885565936, 0.3207249057690863, 0.31505254633994906, 0.3164419347150928, 0.3101499864297397, 0.305774542120855, 0.31327352088247995, 0.31564160226149257, 0.31648386411672064, 0.3139105504029488, 0.3136047411889971, 0.3106783773404043, 0.30597785230879515, 0.30061254515031793, 0.29013267712891555, 0.28052546166882514, 0.2782135280333976, 0.27818491835274506, 0.2695270699813415]"
10,"[0.1820069128605028, 0.21593927739646407, 0.24267635331974435, 0.25765168162370106, 0.2547324486550625, 0.2430902245911461, 0.22284904770392783, 0.22324189604793615, 0.2149978990219198, 0.2239359566962648, 0.2349928897578536, 0.22548084964959436, 0.26012955530357174, 0.30634264646476844, 0.33987796667441983, 0.330013261812028, 0.34467254110900414, 0.34103956495996485, 0.335429002769053, 0.37828907526479266, 0.36506862096375503, 0.349929830191821, 0.33020657035554224, 0.29213608699724186]","[0.283326483435242, 0.2794297113429639, 0.27615330799535975, 0.274249331169013, 0.2738765209602797, 0.27194616890769857, 0.2594862209943932, 0.2525258175338241, 0.25391638427906515, 0.24695750452316786, 0.24383641690272545, 0.25115334743954654, 0.25442552734166013, 0.2530377261844739, 0.25070824843949535, 0.24962873406622216, 0.245553300381507, 0.24091477445994008, 0.23528978629586889, 0.22621032447697303, 0.21898104342765815, 0.21726791026688094, 0.21809875404040927, 0.21050864044948553]"
